StartDate,Value,Units,Type,SourceName,DeviceName
2024-03-15 23:05:00,72,bpm,HeartRate,Apple Watch,Apple Watch Series 9
2024-03-15 23:10:00,68,bpm,HeartRate,Apple Watch,Apple Watch Series 9
2024-03-15 23:20:00,62,bpm,HeartRate,Apple Watch,Apple Watch Series 9
2024-03-15 23:30:00,58,bpm,HeartRate,Apple Watch,Apple Watch Series 9
2024-03-15 23:45:00,56,bpm,HeartRate,Apple Watch,Apple Watch Series 9
2024-03-16 00:15:00,54,bpm,HeartRate,Apple Watch,Apple Watch Series 9
2024-03-16 00:45:00,56,bpm,HeartRate,Apple Watch,Apple Watch Series 9
2024-03-16 01:15:00,58,bpm,HeartRate,Apple Watch,Apple Watch Series 9
2024-03-16 01:45:00,60,bpm,HeartRate,Apple Watch,Apple Watch Series 9
2024-03-16 02:15:00,57,bpm,HeartRate,Apple Watch,Apple Watch Series 9
2024-03-16 02:45:00,55,bpm,HeartRate,Apple Watch,Apple Watch Series 9
2024-03-16 03:15:00,54,bpm,HeartRate,Apple Watch,Apple Watch Series 9
2024-03-16 03:45:00,58,bpm,HeartRate,Apple Watch,Apple Watch Series 9
2024-03-16 04:15:00,60,bpm,HeartRate,Apple Watch,Apple Watch Series 9
2024-03-16 04:45:00,57,bpm,HeartRate,Apple Watch,Apple Watch Series 9
2024-03-16 05:15:00,58,bpm,HeartRate,Apple Watch,Apple Watch Series 9
2024-03-16 05:45:00,62,bpm,HeartRate,Apple Watch,Apple Watch Series 9
2024-03-16 06:15:00,64,bpm,HeartRate,Apple Watch,Apple Watch Series 9
2024-03-16 06:45:00,68,bpm,HeartRate,Apple Watch,Apple Watch Series 9
