feature,importance
acc_std_next1,0.18120649171432152
acc_min_next1,0.09985071836401038
acc_std,0.09519088306736961
hr_std_prev1,0.09162973549756788
acc_std_prev2,0.09086403710916106
hr_std_next1,0.09023000770038186
hr_std,0.09012900169318516
hr_std_prev2,0.08930510848069234
acc_std_prev1,0.08870055180044331
acc_std_next2,0.08829411918259955
hr_min_next1,0.08702172990542004
hr_std_next2,0.08247095363828354
acc_mean_next1,0.07991928717793
acc_mean_prev2,0.07713469933110004
acc_min,0.07496743157279813
acc_min_next2,0.06755294493275701
acc_mean_prev1,0.06511030395932371
acc_mean_next2,0.06464629508482216
acc_min_prev1,0.058679723931204325
hr_mean_next2,0.05840268122511461
acc_max_next2,0.05689329739986204
acc_max_next1,0.05628071013341216
acc_max_prev2,0.056146685995387295
acc_max_prev1,0.05502889492329866
hr_mean_prev1,0.05218635234251361
acc_min_prev2,0.0505224108283925
hr_mean,0.04568083159442478
hr_max_next1,0.04450107897899259
acc_mean,0.04337030125132327
hr_max_next2,0.040734787525100576
hr_max_prev2,0.03868328693531828
hr_min_prev1,0.03797358917494413
hr_mean_next1,0.0372500112549695
hr_mean_prev2,0.03706840310335452
hr_min_prev2,0.03671422142260593
hr_min_next2,0.03637646478763072
acc_max,0.03423517697276432
hr_min,0.03066053771950453
hr_max_prev1,0.022268259308344078
hr_max,0.01524624442055552
steps_sum_prev1,0.0010942797792454562
steps_sum_prev2,0.0005854736749703685
steps_sum_next1,0.000550034615726004
steps_sum,0.00020791318608033988
steps_sum_next2,0.0
